category,location,capture_date,relpath,filename,width,height,megapixels,orientation,size_mb,SELECT_yes,draft_title,draft_price_usd
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927094358_0022_D.JPG,DJI_20250927094358_0022_D.JPG,12288,6912,84.9,landscape,46.9,,Palisades Reservoir Mountain Vista No. 19,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927094432_0023_D.JPG,DJI_20250927094432_0023_D.JPG,12288,6912,84.9,landscape,53.6,,Palisades Reservoir Mountain Vista No. 20,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927094449_0024_D.JPG,DJI_20250927094449_0024_D.JPG,12288,6912,84.9,landscape,51.4,,Palisades Reservoir Mountain Vista No. 21,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927094737_0026_D.JPG,DJI_20250927094737_0026_D.JPG,8064,6048,48.8,landscape,21.4,,Palisades Reservoir Mountain Vista No. 22,39
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927094757_0027_D.JPG,DJI_20250927094757_0027_D.JPG,8064,6048,48.8,landscape,24.0,,Palisades Reservoir Mountain Vista No. 23,39
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927094804_0028_D.JPG,DJI_20250927094804_0028_D.JPG,8064,6048,48.8,landscape,24.0,,Palisades Reservoir Mountain Vista No. 24,39
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927094833_0029_D.JPG,DJI_20250927094833_0029_D.JPG,8064,6048,48.8,landscape,23.6,,Palisades Reservoir Mountain Vista No. 25,39
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927094905_0030_D.JPG,DJI_20250927094905_0030_D.JPG,8192,6144,50.3,landscape,28.8,,Palisades Reservoir Mountain Vista No. 26,39
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927094939_0031_D.JPG,DJI_20250927094939_0031_D.JPG,12288,6912,84.9,landscape,51.8,,Palisades Reservoir Mountain Vista No. 27,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927095025_0032_D.JPG,DJI_20250927095025_0032_D.JPG,12288,6912,84.9,landscape,38.8,,Palisades Reservoir Mountain Vista No. 28,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927095208_0033_D.JPG,DJI_20250927095208_0033_D.JPG,8192,6144,50.3,landscape,22.1,,Palisades Reservoir Mountain Vista No. 29,39
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927095232_0034_D.JPG,DJI_20250927095232_0034_D.JPG,8064,6048,48.8,landscape,22.1,,Palisades Reservoir Mountain Vista No. 30,39
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927100516_0035_D.JPG,DJI_20250927100516_0035_D.JPG,12288,6912,84.9,landscape,35.5,,Palisades Reservoir Mountain Vista No. 31,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927100527_0036_D.JPG,DJI_20250927100527_0036_D.JPG,12288,6912,84.9,landscape,31.6,,Palisades Reservoir Mountain Vista No. 32,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927100542_0037_D.JPG,DJI_20250927100542_0037_D.JPG,12288,6912,84.9,landscape,28.8,,Palisades Reservoir Mountain Vista No. 33,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927100626_0038_D.JPG,DJI_20250927100626_0038_D.JPG,8064,6048,48.8,landscape,28.7,,Palisades Reservoir Mountain Vista No. 34,39
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927100638_0039_D.JPG,DJI_20250927100638_0039_D.JPG,8064,6048,48.8,landscape,28.9,,Palisades Reservoir Mountain Vista No. 35,39
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927100738_0040_D.JPG,DJI_20250927100738_0040_D.JPG,12288,6912,84.9,landscape,30.6,,Palisades Reservoir Mountain Vista No. 36,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927101931_0041_D.JPG,DJI_20250927101931_0041_D.JPG,8192,6144,50.3,landscape,21.8,,Palisades Reservoir Mountain Vista No. 37,39
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927102109_0042_D.JPG,DJI_20250927102109_0042_D.JPG,12288,6912,84.9,landscape,40.9,,Palisades Reservoir Mountain Vista No. 38,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/DJI_20250927102145_0043_D.JPG,DJI_20250927102145_0043_D.JPG,12288,6912,84.9,landscape,41.6,,Palisades Reservoir Mountain Vista No. 39,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/IMG_5680.JPG,IMG_5680.JPG,12288,6912,84.9,landscape,51.3,,Palisades Reservoir Mountain Vista No. 40,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/IMG_5682.JPG,IMG_5682.JPG,12288,6912,84.9,landscape,36.6,,Palisades Reservoir Mountain Vista No. 41,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/IMG_5684.JPG,IMG_5684.JPG,12288,6912,84.9,landscape,42.9,,Palisades Reservoir Mountain Vista No. 42,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/IMG_5688.JPG,IMG_5688.JPG,8064,6048,48.8,landscape,28.6,,Palisades Reservoir Mountain Vista No. 43,39
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/IMG_5689.JPG,IMG_5689.JPG,12288,6912,84.9,landscape,51.7,,Palisades Reservoir Mountain Vista No. 44,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/IMG_5691.JPG,IMG_5691.JPG,12288,6912,84.9,landscape,53.5,,Palisades Reservoir Mountain Vista No. 45,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/IMG_5693.JPG,IMG_5693.JPG,12288,6912,84.9,landscape,33.5,,Palisades Reservoir Mountain Vista No. 46,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/dji_fly_20250927_072926_0001_1758997811516_photo.JPG,dji_fly_20250927_072926_0001_1758997811516_photo.JPG,12288,6912,84.9,landscape,14.7,,Palisades Reservoir Mountain Vista No. 47,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/dji_fly_20250927_072942_0002_1758997813230_photo.JPG,dji_fly_20250927_072942_0002_1758997813230_photo.JPG,12288,6912,84.9,landscape,14.6,,Palisades Reservoir Mountain Vista No. 48,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/dji_fly_20250927_073410_0004_1758997803051_photo.JPG,dji_fly_20250927_073410_0004_1758997803051_photo.JPG,12288,6912,84.9,landscape,12.7,,Palisades Reservoir Mountain Vista No. 49,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/dji_fly_20250927_073414_0005_1758997804518_photo.JPG,dji_fly_20250927_073414_0005_1758997804518_photo.JPG,12288,6912,84.9,landscape,13.4,,Palisades Reservoir Mountain Vista No. 50,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/dji_fly_20250927_073442_0006_1758997805937_photo.JPG,dji_fly_20250927_073442_0006_1758997805937_photo.JPG,12288,6912,84.9,landscape,35.7,,Palisades Reservoir Mountain Vista No. 51,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/dji_fly_20250927_073534_0007_1758997808197_photo.JPG,dji_fly_20250927_073534_0007_1758997808197_photo.JPG,12288,6912,84.9,landscape,14.4,,Palisades Reservoir Mountain Vista No. 52,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/dji_fly_20250927_075614_0008_1758997809964_photo.JPG,dji_fly_20250927_075614_0008_1758997809964_photo.JPG,12288,6912,84.9,landscape,43.0,,Palisades Reservoir Mountain Vista No. 53,45
Mountainscapes,"Palisades Reservoir, ID",2025-09-27,Mountainscapes/Palisades-Idaho_20250927/dji_fly_20250927_075634_0009_1758997798799_photo.JPG,dji_fly_20250927_075634_0009_1758997798799_photo.JPG,8064,6048,48.8,landscape,23.0,,Palisades Reservoir Mountain Vista No. 54,39
